id,tipo,en_stock,categorias,nombre,url
85982,simple,False,Pinceles,Pincel KRACK &#8211; ANGULAR N°2,https://www.boykot.cl/tienda/materiales/pinceles/angular-n2/
85977,simple,False,Pinceles,PLANO N°10,https://www.boykot.cl/tienda/materiales/pinceles/plano-n10/
85972,simple,False,Pinceles,PLANO N°6,https://www.boykot.cl/tienda/materiales/pinceles/plano-n6/
85967,simple,False,Pinceles,PLANO N°3,https://www.boykot.cl/tienda/materiales/pinceles/plano-n3/
85621,simple,False,Acuarela Holbein|Pintura,Acuarela 12 Tubos W494 Nanakami Mana,https://www.boykot.cl/tienda/pintura/holbein/acuarela-holbein/acuarela-set-hwc-12-tubos-nanakami-mana/
85607,simple,False,Accesorios|Accesorios Holbein|Sellantes,Spray Fixative Handy O620 100ml,https://www.boykot.cl/tienda/pintura/holbein/accesorios-holbein/spray-fixative-handy-100ml-o620/
85437,simple,False,Posca,"Uni POSCA 5M Set SOFT 8 colores &#8211; 1,8-2,5 mm",https://www.boykot.cl/tienda/marcadores/posca/uni-posca-5m-set-soft-8-colores-18-25-mm/
85430,simple,False,Limpiadores,Limpiador Angelus Spot Remover 802,https://www.boykot.cl/tienda/limpiadores/limpiador-angelus-angelus-spot-remover-802/
84251,simple,False,Angelus|Pintura,Pintura  Angelus Pint color 264 Putty,https://www.boykot.cl/tienda/pintura/angelus/pintura-angelus-pint-color-264-putty/
84249,simple,False,Angelus|Pintura,Pintura  Angelus Pint color 167 Taupe,https://www.boykot.cl/tienda/pintura/angelus/pintura-angelus-pint-color-167-taupe/
84245,simple,False,Angelus|Pintura,Pintura  Angelus Pint color 021 Light Brown,https://www.boykot.cl/tienda/pintura/angelus/pintura-angelus-pint-color-021-light-brown/
84243,simple,False,Pintura,Pintura  Angelus Pint color 156 Champagne,https://www.boykot.cl/tienda/pintura/pintura-angelus-pint-color-156-champagne/
84242,simple,False,Angelus|Pintura,Pintura  Angelus Pint color 093 Brick,https://www.boykot.cl/tienda/pintura/angelus/pintura-angelus-pint-color-093-brick/
84241,simple,False,Pintura,Pintura  Angelus Pint color 171 Dark Green,https://www.boykot.cl/tienda/pintura/pintura-angelus-pint-color-171-dark-green/
84237,simple,False,Angelus|Pintura,Pintura  Angelus Pint color 018 Dark Brown,https://www.boykot.cl/tienda/pintura/angelus/pintura-angelus-pint-color-018-dark-brown/
84231,simple,False,Pintura,Pintura  Angelus Pint color 177 Sapphire,https://www.boykot.cl/tienda/pintura/pintura-angelus-pint-color-177-sapphire/
84228,simple,False,Pintura,Pintura  Angelus Pint color 027 Saddle,https://www.boykot.cl/tienda/pintura/pintura-angelus-pint-color-027-saddle/
84225,simple,False,Pintura,Pintura  Angelus Pint color 196 Mustard,https://www.boykot.cl/tienda/pintura/pintura-angelus-pint-color-196-mustard/
84223,simple,False,Angelus|Pintura,Pintura  Angelus Pint color 163 Capezio Tan,https://www.boykot.cl/tienda/pintura/angelus/pintura-angelus-pint-color-163-capezio-tan/
84222,simple,False,Angelus|Pintura,Pintura  Angelus Pint color 180 Cognac,https://www.boykot.cl/tienda/pintura/angelus/pintura-angelus-pint-color-180-cognac/
84219,simple,False,Angelus|Pintura,Pintura  Angelus Pint color 169 Mauve,https://www.boykot.cl/tienda/pintura/angelus/pintura-angelus-pint-color-169-mauve/
84218,simple,False,Angelus|Pintura,Pintura  Angelus Pint color 157 Dark Bone,https://www.boykot.cl/tienda/pintura/angelus/pintura-angelus-pint-color-157-dark-bone/
84215,simple,False,Pintura,Pintura  Angelus Pint color 165 Beige Taupe,https://www.boykot.cl/tienda/pintura/pintura-angelus-pint-color-165-beige-taupe/
84209,simple,False,Pintura,Pintura  Angelus Pint color 268 Raspberry,https://www.boykot.cl/tienda/pintura/pintura-angelus-pint-color-268-raspberry/
